id,name,faction,card_type,mana_cost,attack,health,rarity,ability,effect_type,effect_value,target_type,effect_desc,flavor_text
33,SC 紅色超級留言,NEUTRAL,TALENT,2,0,0,1,,HEAL,3,HERO,恢復己方英雄 3 HP,觀眾的愛心超級留言
34,聯動企劃,NEUTRAL,TALENT,3,0,0,2,,DRAW,2,,抽 2 張牌,跨團聯動帶來新的可能性
35,YT 黃標危機,NEUTRAL,TALENT,4,0,0,3,,DESTROY_RANDOM,1,ANY,隨機消滅場上 1 隻隨從（敵我皆可能）,黃標降臨誰都無法倖免
36,百萬訂閱達成,NEUTRAL,TALENT,8,0,0,4,,DAMAGE,10,ENEMY_HERO,對敵方英雄造成 10 點傷害,一百萬人的力量匯聚而成的一擊
37,剪輯精華上片,NEUTRAL,TALENT,1,0,0,1,,DRAW,1,,抽 1 張牌,精華剪輯讓更多人認識你
38,湯圓碗應援棒,DEEP_SPACE,SUPPORT,2,2,0,2,,,,,+2 ATK,湯圓碗們的應援聲震天
39,極深空專輯,DEEP_SPACE,SUPPORT,3,1,3,3,,,,,+1 ATK / +3 HP,首張同名原創專輯
40,石虎路殺警示牌,RESCUTE,SUPPORT,1,0,2,1,,,,,+0 ATK / +2 HP,注意石虎出沒
41,保育大使徽章,RESCUTE,SUPPORT,3,1,2,3,TAUNT,,,,+1 ATK / +2 HP 並獲得嘲諷,戴上徽章的那刻起就是守護者
42,氣象觀測儀,CELESTIAL,SUPPORT,2,1,1,2,,,,,+1 ATK / +1 HP,精準掌握天氣脈動
43,天象護符,CELESTIAL,SUPPORT,3,0,4,3,,,,,+0 ATK / +4 HP,天象之力凝結的護符
44,鍛造之錘,TIMAEUS,SUPPORT,2,3,0,2,,,,,+3 ATK / +0 HP,千錘百鍊的極致
45,聖器碎片,TIMAEUS,SUPPORT,3,2,2,3,,,,,+2 ATK / +2 HP,古老聖器殘存的力量
46,悖論結晶,PARADOX,SUPPORT,2,2,1,2,,,,,+2 ATK / +1 HP,悖論凝結而成的晶體
47,螢光棒,NEUTRAL,SUPPORT,1,1,0,1,,,,,+1 ATK,應援的基本配備
48,會限周邊 T-shirt,NEUTRAL,SUPPORT,2,0,3,2,,,,,+0 ATK / +3 HP,限定周邊的防護力
49,3D 演唱會門票,NEUTRAL,SUPPORT,4,3,2,3,,,,,+3 ATK / +2 HP,3D LIVE 的震撼體驗
